# Manual word translations:

estaba	war
litt	Lite
litt	Litt
professor	Professor
professor	Professorin
professor	Lehrer
languages	Sprachen
languages	Sprache
languages	Sprachkenntnisse
languages	Sprachen:
university	Universität
university	Hochschule
university	Hochschulbereich
university	Universitätsklinik
revised	Überarbeitet
revised	Bearbeitet
revised	Überarbeitete
revised	Verarbeitet
edition	Ausgabe
edition	Edition
edition	Ausgaben
edition	Editionen
direct	Direkt
direct	Sonstige
direct	Direkte
direct	Direktion
method	Methode
method	VERFAHREN
method	Verfahren
exercises	Übungen
exercises	Ausfuhr
exercises	Ausfuhren
exercises	Übung
new	Neu
new	Neue
new	Neuheit
henry	Henry
henry	Henry..
holt	Holt
holt	Bohrloch
holt	Loch
holt	Bohrung
company	Unternehmen
company	Gesellschaft
company	Firma
company	Unternehmen und Unternehmen
copyright	Urheberrecht
copyright	Copyright
copyright	Urheberrechte
copyright	Urheberrechtsschutz
1909	1909
1909	19.09
1919	1919
1919	19. 1919
contents	Inhalt
contents	Inhalte
b	B
b	B. B
b	BVT
ch	Ch
ch	C h
f	F
f	FF
f	FÄLLIGKEIT
f	FINANZIERUNG
g	G
g	GG
h	H
h	HINWEIS
h	HERSTELLUNG
h	HINTERGRUND
j	J
j	JJ
j	JH
k	K
k	KK
k	KKK
k	KWK
l	L
l	L 347 VOM 20.12.2013, S. 1)
l	L 347 VOM 20.12.2013, S. 1
ll	LL
ll	L
m	M
m	MASSNAHME
m	MM
n	N
n	NN
n	NICHT
n	NN-CODE
o	O
o	ODER
p	P
p	P.P
p	PKP
q	Q
q	Q)
r	R
r	RR
s	S
s	SAMMLUNG
s	SICHERHEIT
t	T
t	TABELLE
t	TAG
t	TT
u	U
u	U..
v	VGL
v	V
v	VGL.:
z	Z
z	ZW
z	ZIEL
z	ZUSATZ
please	Bitte
note	anmerkung
note	anmerkung:
that	dass
that	und
that	das
that	dass die
orthography	orthographie
orthography	orthopädie
changed	geändert
changed	verändert
changed	geändert werden
slightly	leicht
slightly	gerade
since	seit
since	von
since	seit:
written	geschrieben
written	schriftlich
written	geschrieben:
words	worte
words	wörter
words	wort
words	worte:
é	und
é	e)
é	e
longer	länger
longer	lang
longer	mehr
accented	zugang
accented	zugriff
accented	zugriff auf
accented	zugang zu
etext	etext
etext	dann
etext	und
transcriber	transformator
transcriber	transcriber
transcriber	transcrimer
transcriber	transformatoren
preface	Vorwort
preface	Preface
preface	Anmerkung
selecting	auswahl
selecting	wählen
selecting	wählen sie
these	diese
these	die
these	und
three	drei
three	3
objects	objekte
objects	gegenstände
objects	waren
objects	gegenstand
been	werden
been	sein
been	war
been	b)
kept	gehalten
kept	kept
kept	gehalten werden
kept	aufbewahrt werden
view	blick
view	ansicht
view	ausblick
1	1
1	1st
1	1 bis 3
they	sie/sie
they	sie/sie haben
they	sie
good	gut
literature	literatur
literature	literaturhinweise
literature	literaturverzeichnis
literature	literatur und literatur
2	2
2	Artikel 2
2	2. Artikel 2
portray	portree
portray	portierung
portray	diagonale
modern	modern
modern	modern und modern
modern	min
life	leben
life	leben im leben
life	leben und leben
3	3
3	2
interesting	zinssatz
interesting	zinsen
interesting	zinssätze
interesting	interesse
too	auch
too	zu
difficult	schwierigkeitsgrad
difficult	schwierigkeiten
difficult	schwierigkeit
difficult	schwierig
thought	gedanken
thought	dachte ich:
thought	denken sie daran
thought	dachte
some	Einige
some	Manche
some	Ein paar
stories	geschichten
stories	geschichten und geschichten
stories	geschichten aus der geschichte
stories	geschichten über die geschichte
do	dgl
do	ich
do	du
do	würde
conform	komfort
conform	komfortabel
conform	komfort und komfort
all	alle
all	alles
all	und
rules	vorschriften
rules	regeln
rules	bestimmungen
rules	rechtsvorschriften
first	erste
first	erstens
first	erster schritt
two	zwei
instance	beispiel
instance	beispiel:
instance	fälle
instance	anstatt
but	aber
but	jedoch
but	aber nicht
but	jedoch nicht
hope	hoffnung
hope	hoffnungen
hope	hoffnung und hoffnung
them	sie
them	sie/sie
them	ihnen
them	ihr
found	gefunden
found	gefunden haben
found	gefunden worden
fully	vollständig
fully	voll
fully	voll und ganz
few	wenige
few	ein paar
few	nur wenige
lyric	lyric
lyric	lyrik
lyric	glyric
poems	gedichte
poems	poems
poems	gedichten
poems	poemen
also	auch
also	und
poetry	poesie
poetry	lyrik
forms	formen
forms	formulare
forms	formblätter
forms	formen der
an	eine
an	ein
an	einem
an	einer
part	teil
part	teile
part	teilstück
moreover	und
moreover	im übrigen
moreover	im
moreover	auch
better	besser
work	arbeit
work	arbeiten
work	arbeitsplatz
memorizing	erinnerungen
memorizing	erinnerung
memorizing	gedenken
memorizing	memoring
than	als
than	♪
than	#
than	~
prose	prose
prose	prothese
prose	prosa
spain	Spanien
spain	Schweden
spain	Portugal
spain	Frankreich
rich	reich
varied	vielfältig
varied	vielfältige
varied	geändert
varied	unterschiedliche
which	welche
which	die
which	der
which	dass
nations	nationen
nations	länder
nations	völker
nations	staaten
freely	frei
freely	frei wählbar
drawn	gezogen
drawn	draken
gives	geben
gives	gibt
gives	gegeben
true	wahr
true	stimmt
expression	ausdruck
expression	bezeichnung
expression	expression
expression	begriff
aspirations	aspirationen
aspirations	sehnsucht
aspirations	ziele
aspirations	sehnen
people	menschen
people	leute
people	personen
selections	auswahl
selections	auswahlen
selections	auswahlmöglichkeiten
volume	volumen
volume	menge
volume	volumenstrom
taken	genommen
taken	entnommen
taken	entnommen werden
taken	entnommen wurden
literary	literatur
literary	literarisch
literary	literat
works	werke
works	arbeiten
works	werk
works	arbeit
past	vergangenheit
past	vorbei
past	vergangene
fifty	50
fifty	fünfzig
sixty	6
sixty	sechs
years	jahre
years	jahr
although	aber
although	wenn
although	obwohl
respects	achtung
respects	respekt
great	großartig
great	toll
master-pieces	meisterwerke
master-pieces	meisterstücke
sixteenth	sechzehn
sixteenth	16
seventeenth	siebenzehn
seventeenth	siebzehn
seventeenth	17
centuries	zentimeter
centuries	jahrhunderte
centuries	mittel
centuries	mitten
believe	glauben
excellence	exzellenz
excellence	qualität
excellence	ausgezeichnet
excellence	leistung
besides	und
besides	bizas
besides	neben
besides	nebenbei
advantage	vorteil
advantage	vorteile
being	werden
being	werdest
being	sein
today	heute
describing	beschreibung
describing	bezeichnung
present-day	heute
present-day	tag
my	mein..
my	meine..
my	meine ich
my	ich..
greatest	großartig
greatest	größer
greatest	toll
wish	wünsch
wish	wunsch
wish	wünscht
wish	wünschen
awaken	erwachen
awaken	erwacht
awaken	erweckt
students'	studenten
students'	studenten '
students'	schüler
students'	studierende
interest	zinssatz
interest	zinsen
interest	zinssätze
interest	zinsvergünstigungen
civilization	zivilisation
civilization	zivilgesellschaft
serve	dienen
serve	service
serve	dienen als
introduction	einleitung
introduction	einführung
study	studien
study	studium
study	studieren
study	studiengang
integrity	integrität
integrity	integrität und sicherheit
integrity	integrität und integrität
texts	texte
texts	text
texts	texttext
preserved	konserviert
preserved	konserven
preserved	mit einem gehalt an
preserved	erhalten
exigencies	anforderungen
exigencies	vorschriften
exigencies	anforderungen an die anforderungen
beginners'	anfänger
beginners'	anfänger '
beginners'	einsteiger
permit	genehmigung
permit	zulässig
permit	erlaubnis
following	anhang
following	folgendes:
following	nächste
following	nächster
changes	änderungen
changes	veränderungen
changes	änderung
made	hergestellt
made	aus baumwolle
made	mit einem gehalt an
made	mademoiselle
passages	durchgänge
passages	passagen
passages	kanäle
passages	durchläufe
omitted	weggelassen
omitted	nicht vorhanden
omitted	omittiert
omitted	abgelehnt
chiefly	hauptsächlich
chiefly	überwiegend
chiefly	vor allem
chiefly	vornehmlich
earlier	anfang
earlier	früher
thus	also
thus	somit
thus	so
digressions	digressionen
digressions	degressionen
digressions	rücktritte
uninteresting	uninteressiert
uninteresting	nicht interessiert
uninteresting	ungeeignet
descriptive	beschreibung
descriptive	warenbezeichnung
descriptive	beschreibend
omissions	Missionen
omissions	Emissionen
omissions	Aufgaben
omissions	Vertretungen
generally	allgemein
generally	im allgemeinen
marked	mit
marked	gekennzeichnet
marked	gekennzeichnet durch
marked	markiert
four	vier
four	anhang
four	4
suspensive	suspension
suspensive	suspensionen
suspensive	suspendiert
suspensive	suspensive
points	punkte
points	punkt
points	bemerkungen
beginning	anfang
beginning	beginn
beginning	beginnen
story	geschichte
story	geschichte und geschichte
story	geschichte der geschichte
except	Ausnahme
except	Ausnahmen
except	Außer
form	formblatt
form	form
form	formblätter
form	form der
punctuation	pünktlichkeit
punctuation	pünctuation
punctuation	pünktuation
punctuation	pünktigung
several	mehrere
several	einige
several	mehreren
several	von
authors	autoren
authors	organe
authors	organen
authors	schiffe
now	jetzt
prescribed	vorgeschrieben
prescribed	vorgeschriebene
academy	Hochschule
academy	Akademie
academy	Akademie der Künste
academy	Akademien
substituted	ersetzt durch
substituted	anhang
substituted	substituiert
substituted	ersetzt
feminine	feminin
feminine	weiblich
feminine	feminine
indirect	indirekt
indirect	mittelbar
object-pronoun	objekt-pronoun
object-pronoun	objektpronoun
object-pronoun	objekt-pronomin
masculine	männlich
masculine	mann
4	ANHANG
4	4
4	L 347 vom 20.12.2013, S. 1)
4	L 347 vom 20.12.2013, S. 1
conjunctive	konjunktiv
conjunctive	konjunktivität
conjunctive	conjuntive
pronoun-object	pronoun-object
pronoun-object	pronoun-objekt
pronoun-object	pronoun- objekt
placed	mit einem gehalt an
placed	position
placed	vermittlung
placed	positioniert
indicative	indikativ
indicative	indikation
verb	verbleib
verb	verpflegung
verb	verben
tornó	zurück
tornó	zurückgegeben
tornó	gedreht
tornó	zurückgekehrt
tornóse	gedreht
tornóse	es drehte sich um
tornóse	umgedreht
11	11)
11	L 347 vom 20.12.2013, S. 1)
11	L 347 vom 20.12.2013, S. 1
11	L 347 vom 20.12.2013, S. 11)
5	5
5	ANHANG
5	5)
conjunction	verbindung
conjunction	konjunktion
conjunction	trigon
conjunction	konserven
added	hinzugefügt
added	zusätzlich
added	zusatz
added	hinzukommen
times	zeiten
times	zeitpunkt
times	zeit
times	mal
over	über
over	über uns
over	über die
omission	wirtschaft
omission	omie
omission	omasion
omission	omisation
6	6
6	6)
6	6:
6	6) und
cases	fälle
cases	rechtssache
cases	fall
cases	rechtssachen
one	eine
one	ein
one	einen
one	einer
word	wort
word	wortmeldung
word	bezeichnung
word	wort:
another	andere
another	eine
another	sonstige
vieron	säge
vieron	sägeblatt
vieron	sägen
vieron	sägewerk
apercibieron	sie bemerkten
apercibieron	sie haben bemerkt
apercibieron	sie/sie bemerkten
apercibieron	sie/sie haben bemerkt
22	ANHANG
22	22
22	223
47	47
47	L 347 vom 20.12.2013, S. 1)
47	L 347 vom 20.12.2013, S. 47)
13	13)
13	13
13	L 347 vom 20.12.2013, S. 1)
13	L 347 vom 20.12.2013, S. 13)
rogó	Er betete
rogó	Er flehte
rogó	Er bat ihn
rogó	Er hat gebetet
48	ANHANG
48	48
9	ANHANG
9	9)
9	9
monises	mons
monises	monis
monises	mönche
57	57
31	31
31	31. Dezember
31	L 347 vom 20.12.2013, S. 1)
31	L 347 vom 20.12.2013, S. 1
58	58
58	ANHANG
calderómetro	calderometer
calderómetro	kalderometer
calderómetro	kalanderometer
101	ANHANG
101	101
101	L 347 vom 20.12.2013, S. 1)
7	7
7	7)
7	7) und
escula-mata	sculpa-mata
escula-mata	sculpa- tötet
escula-mata	sculpa- tötung
escula-mata	sculpa- tötungen
116	ANHANG
116	116
difficulties	schwierigkeiten
difficulties	probleme
explained	erklärt
explained	erläutert
possible	möglich
reference	referenz
reference	referenznummer
reference	bezug
reference	referenzwert
rearranging	neuanordnen
rearranging	umbau
rearranging	nachrüsten
rearranging	neuanordnung
often	oft
often	häufig
often	oft nicht
often	oft häufig
necessary	erforderlich
necessary	notwendig
necessary	notwendig ist
translate	übersetzung
translate	übersetzer
into	in
into	bis
into	in der
english	Englisch
english	Deutsch
english	German
perhaps	Vielleicht
perhaps	Vielleicht vielleicht
perhaps	Vielleicht, vielleicht
criticism	kritik
criticism	kritiken
pages	seiten
pages	seite
pages	seitenblätter
numerous	zahlreiche
numerous	viele
numerous	groß
numerous	zahlreichen
many	viele
many	vielen
many	vieles
especially	insbesondere
especially	besonders bevorzugt
especially	besonders
those	die
those	diese
explain	erklärung
explain	erklären
explain	erläuterung
elementary	element
elementary	wesentliches
elementary	elementar
elementary	elementares
grammar	grammatik
grammar	grammatiker
given	gegeben
given	angegeben
given	gegeben haben
benefit	leistung
benefit	vorteile
benefit	leistungen
students	studenten
students	schüler
students	studierende
who	wer
begin	beginn
begin	start
begin	anfang
read	lesen
read	gelesen
read	lesen sie mehr
read	weiterlesen
lyrics	lyonics
lyrics	text
lyrics	lyonen
lyrics	texte
attempt	versuch
attempt	versucht
attempt	versuchen
treat	behandlung
treat	behandeln
prosody	prosody
prosody	prothese
only	nur
simplest	einfach
simplest	einfach zu bedienen
simplest	einfach einfach
complete	insgesamt
complete	komplett
complete	gesamt
complete	vollständig
contains	enthält
contains	inhalt
contains	behälter
contains	enthält:
facts	fakten
facts	tatsache
facts	faktoren
facts	sachverhalt
such	dass
such	solche
such	b
such	eine
descriptions	beschreibungen
descriptions	beschreibung
descriptions	warenbezeichnung
descriptions	bezeichnungen
places	orte
places	plätze
places	ort
places	orte und plätze
biographies	biographien
noted	anmerkung
noted	anmerkung:
noted	angaben
noted	anmerkungen
men	männer
men	mann
men	leute
usually	normalerweise
usually	gewöhnlich
usually	meist
usually	in der
vocabularies	vokabular
vocabularies	vokabeln
vocabularies	wortschatz
vocabularies	wocabulare
verb-forms	verb-formen
verb-forms	verbenformen
verb-forms	vertikale formen
verb-forms	verben-formen
occur	auftreten
occur	auftreten kann
pleasure	bitte
acknowledging	erkennen
acknowledging	anerkennung
acknowledging	erkennung
acknowledging	buchführung
indebtedness	verschuldung
colleagues	kollegen
colleagues	kollegen und kollegen
advice	beratung
advice	ratschläge
advice	rat
advice	ratgeber
helpful	hilfe
helpful	hilfreich
helpful	hilfsbereit
suggestions	vorschläge
suggestions	vorschlag
indebted	verschuldet
indebted	verschuldung
indebted	verbindlichkeiten
dr	Dr
dr	Dr. Dr
griswold	Griswold
griswold	Grieben
morley	Morley
morley	Moral
help	hilfe
help	helfen
reading	lesen
reading	lesen sie mehr
reading	lesen sie weiter
proofs	nachweise
proofs	beweise
proofs	beweismittel
springs	Federn
springs	Frühlinge
springs	Frühling
springs	Springs
colo	Colo
colo	Cola
colo	Colono
colo	Colon
map	Landkarte
map	Karte
map	Stadt
map	Karten
facing	mit
facing	nach oben
facing	gesicht
facing	zugewandt
echegaray	Echegaray
echegaray	Ejegaray
casilda	Casilda
casilda	Casylda
casilda	Casillda
casilda	Calciumcarbonat
trueba	Trueba
trueba	Truba
trueba	Trubba
8	8)
8	8
8	8) und
florecita	Kleine Blume
florecita	Florecita
florecita	Eine kleine Blume
sinués	Sinus
sinués	Sinu
15	15
15	14
manuela	Manuela
manuela	Manuelle
manuela	Manuel
cuéllar	Cuillar
cuéllar	Hirse
cuéllar	Bend
cuéllar	Verstecken
20	20
20	20 %
tony	Tony
tony	Tony..
escrich	Scrich
escrich	Ecrich
escrich	Escrich
23	23
23	233
garcía	Garcia
garcía	García
ladevese	Lademaschinen
ladevese	Ladeves
ladevese	Ladevese
ladevese	Ladevesi
30	30
30	30 %
30	30)
valdés	Valdés
valdés	Valdeés
valdés	Valdiés
valdés	Gülle
34	ANHANG
34	34
34	KAPITEL
taboada	Gewebe
taboada	Tabak
taboada	Tabulatur
taboada	Zucker
40	40
40	ANHANG
40	40 %
43	ANHANG
43	43
43	42
bazán	Bazan
bazán	Bazán
bazán	Baza
bazán	Bzan
46	ANHANG
46	46
46	L 347 vom 20.12.2013, S. 1)
46	L 347 vom 20.12.2013, S. 46)
53	ANHANG
53	53
53	L 347 vom 20.12.2013, S. 1)
talonario	Talon
talonario	Thalon
talonario	Tallonat
talonario	Talonal
alarcón	Alarcon
alarcón	Alarcón
alarcón	Alarmstufe
60	60
60	60 %
67	67
67	ANHANG
67	65
manzanares	Äpfel
manzanares	Apfel
manzanares	Manzanares
manzanares	Manzanaren
79	79
79	79,9
murió	Er starb
murió	Er ist gestorben
murió	Sie starb
murió	Sie ist gestorben
asensi	Asensi
asensi	Assensi
83	ANHANG
83	83
noches	Nacht
noches	Nächte
noches	Übernachtungen
largas	Länge
largas	Lang
largas	Lange
córdoba	Córdoba
córdoba	Cordoba
córdoba	Kabeljau
campillo	Campillo
campillo	Gerste
campillo	Camillo
campillo	Gersten
96	KAPITEL
96	96
96	96 %
costumbres	Dichtungen
costumbres	Seuchen
costumbres	Seufzer
costumbres	Kosmos
110	ANHANG
110	110
110	L 347 vom 20.12.2013, S. 1)
bécquer	Becquer
bécquer	Béro
bécquer	Becken
125	125
125	ANHANG
125	125 EUR
iriarte	Iriarte
iriarte	Irit
iriarte	Iriart
135	ANHANG
135	135
135	135)
135	TEIL
137	137
137	1.37
samaniego	Samaniego
samaniego	Namiego
samaniego	Samariego
138	138
gane	Gane
gane	Win
gane	Gewinn
gonzález	González
gonzález	Gonzalez
gonzález	- González
139	KAPITEL
139	139
139	L 347 vom 20.12.2013, S. 1)
hartzenbusch	Hartzenbusch
hartzenbusch	Hartenbusch
140	ANHANG
140	140
140	L 347 vom 20.12.2013, S. 1)
140	L 347 vom 20.12.2013, S. 1
globito	Glycin
globito	Glybit
globito	Globit
cavestany	Cavestan
cavestany	Cavestanie
cavestany	Cavestany
141	1
141	141
141	L 347 vom 20.12.2013, S. 1)
peza	Fische
peza	Fisch
peza	Fischbestände
peza	Fischfang
143	143
143	3
143	L 347 vom 20.12.2013, S. 1)
146	146
148	ANHANG
148	148
148	- 148
zorrilla	Karotten
zorrilla	Karotte
zorrilla	Hühner
zorrilla	Schafe
149	149
149	Artikel 1
excelsior	Exzellenz
excelsior	Transparenz
excelsior	H.E
núñez	Núñez
núñez	Nein
núñez	Nuñez
150	150
150	KAPITEL
150	150 %
xiii	Xiii
xiii	Iii)
xiii	Iii
151	151
151	153
151	157
liii	Liii
liii	Iii)
liii	L iii
152	ANHANG
152	KAPITEL
152	152
155	155
155	TEIL
203	203
203	203 bis 203
medium	Mittel
medium	Medium
medium	Mittlere
sized	größe
large	Groß
large	Große
preguntó	frage stellen
preguntó	gefragt
preguntó	fragte
replicó	antwort
replicó	repliziert
replicó	antwortete:
continuó	weiter
continuó	fortsetzung
continuó	fortgesetzt
continuó	weiter fort
diciendo	sagen:
diciendo	sagen
diciendo	sagte:
podrías	das könntest du
podrías	das kannst du
podrías	vielleicht
podrías	du könntest
aires	luft
aires	luftraum
aires	luftverschmutzung
dientes	zähne
dientes	zähnen
dientes	zahn
dientes	zahnersatz
despreciables	fahrlässig
despreciables	vernachlässigbar
despreciables	unzulänglich
despreciables	verdächtig
valen	valen
valen	valentin
valen	valental
ratoncillo	rattoncillo
ratoncillo	rat
ratoncillo	rattonillo
potentes	stark
potentes	stark ausgeprägt
mis	mein..
mis	meine..
mis	ich..
mis	mein gott
mezquinas	mechinen
mezquinas	pailletten
mezquinas	mequins
sucias	schmutz
sucias	dreckig
sucias	schmutzig
conseguiría	ich würde es holen
conseguiría	ich würde es bekommen
conseguiría	ich würde es kriegen
conseguiría	ich würde es schaffen
vencerte	schlag dich
vencerte	schlagen sie
vencerte	sie verprügeln
tendrá	Das wird es
tendrá	Es wird
tendrá	Wird es
sacudimos	wir schütteln
sacudimos	wir haben geschockt
sacudimos	wir erschüttern
tiene	hat
tiene	haben
tiene	habe
tiene	es hat
abrió	geöffnet
abrió	offen
abrió	aufmachen
enormemente	enorm
enormemente	stark
enormemente	sehr stark
enormemente	sehr viel
espantosa	schade
espantosa	schrecklich
espantosa	furchtbar
espantosa	toll
lanzó	gestartet
lanzó	veröffentlicht
pronunció	und
pronunció	ausgeprägt
pronunció	stark ausgeprägt
pronunció	ausgedrückt in
mi	Ich
mi	Mein..
mi	Meine
mi	Meine..
luches	ihr kämpft
luches	kampf
luches	du kämpfest
estremeció	zittern
estremeció	gezittert
estremeció	gestreckt
estremeció	gezähmt
dobló	verdoppelt
dobló	gebogen
empezó	Es begann
empezó	Es hat angefangen
empezó	Es hat begonnen
comprendió	verstanden
comprendió	er hat verstanden
comprendió	er hat es verstanden
había	hatte
había	hatten
había	gab es
había	hattest
lloró	er weinte
lloró	sie weinte
lloró	sie rief
leones	löwen
leones	lachse
leones	lilien
lloran	sie weinen
lloran	die weinen
tendió	tendó
tendió	weihrauch
tendió	tense
tendió	räucher
acercó	er kam rein
acercó	er kam
acercó	er ist gekommen
acercó	er kam herein
quedó	links
quedó	es war
quedó	es ist weg
unieron	vereinigt
unieron	vereint
unieron	zusammen
unieron	gemeinsam
mezclaron	mezzaron
mezclaron	meclaron
mezclaron	melodie
levantó	steh auf
levantó	aufstehen
sacudió	er schrie
sacudió	er hat geschüttelt
sacudió	er hat geschaut
sacudió	er hat geschlafen
rugió	er weinte
rugió	er schrie
rugió	er rief
salió	Er ist raus
salió	Er ist draußen
salió	Er ist aus
salió	Er kam raus
hizo	er tat es
hizo	hergestellt
hizo	er hat es getan
hizo	er hat
tenía	ich hatte
tenía	hatte
tenía	ich hätte
tenía	er hatte
alejó	er ist weg
alejó	er ging weg
alejó	er ist weggelaufen
alejó	er ist weggegangen
trompeteó	trompeteo
trompeteó	trompete
trompeteó	trompeteó
devoró	er verschworen
devoró	er verschwand
devoró	er hat gefressen
devoró	verzehrt
durmió	Er schlief
durmió	Er hat geschlafen
durmió	Sie schlief
durmió	Sie hat geschlafen
fué	es war
fué	es war..
soñando	träumen
soñando	träume
sería	Es wäre
sería	Das wäre
despertó	wach auf
despertó	er hat aufgewacht
despertó	er ist aufgewacht
echó	er ist weg
echó	er warf
echó	er ist verschwunden
echó	er ist fort
sonó	es klang
sonó	er klang
debía	Das hätte ich tun sollen
debía	Ich hätte es tun sollen
debía	Ich hätte
rugía	roggen
rugía	root
rugía	roel
rugía	rost
rebuznaba	rebuznaba
rebuznaba	rebutnaba
formidables	formidisch
formidables	formid
formidables	formidable
pudo	könnte
pudo	ich könnte
pudo	das könnte ich
acometió	hat er
acometió	das hat er
acometió	ja
acometió	verpflichtung
derribó	er hat abgeschossen
derribó	er hat geklopft
derribó	er hat abgenommen
derribó	er nahm ab
sujetó	er hielt
sujetó	er hielt an
sujetó	er hat es gehalten
sujetó	er hat festgehalten
poderosas	stark
poderosas	mächtig
poderosas	kraftvoll
contestó	antwort
contestó	antworten
contestó	antwortete:
he	ich..
he	i
he	ich
he	ich habe
parecen	sie sehen aus
parecen	sie sehen aus wie
parecen	sie scheinen
dónde	Wo
dónde	Wohin
dónde	Ort
encontraré	ich werde finden
encontraré	ich finde
encontraré	ich werde suchen
encuentres	sie finden
encuentres	sie haben gefunden
encuentres	finden sie
encuentres	du hast gefunden
soltó	er ließ los
soltó	er hat losgelassen
soltó	sie ließ los
soltó	er ließ gehen
siguió	gefolgt von
siguió	weiter
siguió	fortsetzung
siguió	fortgesetzt
enredó	es wurde gemischt
enredó	er war dabei
enredó	er hat sich beteiligt
enredó	es wurde vermischt
arrojó	er warf
arrojó	er hat gedroht
dió	diagonale
dió	gegeben
